State,Spearman Corr,Store Type
Aguascalientes,0.46,Mom and Pop Store
Baja California,0.57,Mom and Pop Store
Baja California Sur,0.72,Mom and Pop Store
Campeche,0.54,Mom and Pop Store
Coahuila,0.65,Mom and Pop Store
Colima,0.5,Mom and Pop Store
Chiapas,0.6,Mom and Pop Store
Chihuahua,0.29,Mom and Pop Store
D.F.,0.56,Mom and Pop Store
Durango,0.62,Mom and Pop Store
Guanajuato,0.71,Mom and Pop Store
Guerrero,0.55,Mom and Pop Store
Hidalgo,0.72,Mom and Pop Store
Jalisco,0.59,Mom and Pop Store
Edo. México,0.62,Mom and Pop Store
Michoacán,0.55,Mom and Pop Store
Morelos,0.42,Mom and Pop Store
Nayarit,0.4,Mom and Pop Store
Nuevo León,0.52,Mom and Pop Store
Oaxaca,0.54,Mom and Pop Store
Puebla,0.5,Mom and Pop Store
Querétaro,0.48,Mom and Pop Store
Quintana Roo,0.45,Mom and Pop Store
San Luis Potosí,0.68,Mom and Pop Store
Sinaloa,0.58,Mom and Pop Store
Sonora,0.62,Mom and Pop Store
Tabasco,0.31,Mom and Pop Store
Tamaulipas,0.59,Mom and Pop Store
Tlaxcala,0.48,Mom and Pop Store
Veracruz,0.29,Mom and Pop Store
Yucatán,0.65,Mom and Pop Store
Zacatecas,0.76,Mom and Pop Store
Aguascalientes,0.27,Big Retail Store
Baja California,0.35,Big Retail Store
Baja California Sur,0.33,Big Retail Store
Campeche,0.08,Big Retail Store
Coahuila,0.6,Big Retail Store
Colima,0.34,Big Retail Store
Chiapas,0.2,Big Retail Store
Chihuahua,0.45,Big Retail Store
D.F.,0.54,Big Retail Store
Durango,0.23,Big Retail Store
Guanajuato,0.56,Big Retail Store
Guerrero,0.36,Big Retail Store
Hidalgo,0.39,Big Retail Store
Jalisco,0.19,Big Retail Store
Edo. México,0.42,Big Retail Store
Michoacán,0.33,Big Retail Store
Morelos,0.34,Big Retail Store
Nayarit,0.18,Big Retail Store
Nuevo León,0.42,Big Retail Store
Oaxaca,0.31,Big Retail Store
Puebla,0.42,Big Retail Store
Querétaro,0.43,Big Retail Store
Quintana Roo,0.47,Big Retail Store
San Luis Potosí,0.6,Big Retail Store
Sinaloa,0.16,Big Retail Store
Sonora,0.19,Big Retail Store
Tabasco,0.33,Big Retail Store
Tamaulipas,0.22,Big Retail Store
Tlaxcala,0.1,Big Retail Store
Veracruz,0.25,Big Retail Store
Yucatán,0.35,Big Retail Store
Zacatecas,0.18,Big Retail Store
